age,job,marital,education,default,spending,housing,cash_loan,contact_number_type,maturity,app_channel,max_late_charge,cash_withdraw_freq,poutcome,y
35,blue-collar,married,secondary,no,1287,yes,no,cellular,330,2,0,0,unknown,no
56,management,married,unknown,no,353,no,yes,cellular,171,2,0,0,unknown,no
56,technician,married,secondary,no,205,no,yes,cellular,77,2,0,0,unknown,no
49,entrepreneur,married,secondary,no,687,yes,no,cellular,42,1,0,0,unknown,yes
38,unemployed,married,primary,no,1147,yes,yes,unknown,249,5,0,0,unknown,no
35,management,married,tertiary,no,4286,yes,no,unknown,357,1,0,0,unknown,no
38,admin.,married,tertiary,no,605,no,no,cellular,147,2,0,0,unknown,no
55,management,married,unknown,no,559,no,no,cellular,271,2,0,0,unknown,no
43,blue-collar,single,primary,no,200,yes,no,cellular,53,3,0,0,unknown,no
43,management,married,tertiary,no,200,no,yes,cellular,107,2,0,0,unknown,no
30,blue-collar,married,primary,no,1317,yes,no,unknown,30,2,0,0,unknown,no
46,blue-collar,married,secondary,no,200,no,no,cellular,56,1,0,0,unknown,no
50,admin.,married,primary,no,276,no,yes,unknown,276,6,0,0,unknown,no
26,unemployed,single,secondary,no,1064,no,no,unknown,113,1,0,0,unknown,no
45,admin.,married,unknown,no,1783,no,no,unknown,11,11,0,0,unknown,no
37,blue-collar,married,secondary,no,200,no,no,cellular,157,1,0,0,unknown,no
60,self-employed,single,tertiary,no,200,no,yes,cellular,79,4,0,0,unknown,no
47,blue-collar,married,primary,no,214,yes,yes,unknown,168,1,0,0,unknown,no
51,unemployed,married,secondary,no,1760,no,yes,cellular,162,1,0,0,unknown,no
35,entrepreneur,single,tertiary,no,200,yes,no,cellular,69,2,0,0,unknown,yes
48,admin.,single,secondary,no,1150,yes,no,unknown,357,1,0,0,unknown,no
37,admin.,married,secondary,no,200,no,no,cellular,22,6,0,0,unknown,no
34,admin.,married,secondary,no,244,yes,no,cellular,56,4,0,0,unknown,no
32,services,married,primary,no,228,yes,no,cellular,287,6,0,0,unknown,yes
30,management,single,tertiary,no,424,no,no,cellular,298,4,0,0,unknown,yes
47,management,divorced,tertiary,no,447,no,yes,unknown,126,1,0,0,unknown,no
33,blue-collar,married,primary,no,200,no,no,unknown,9,1,0,0,unknown,no
51,self-employed,divorced,primary,no,10924,no,no,cellular,106,2,0,0,unknown,no
56,retired,married,tertiary,no,478,no,no,cellular,97,1,0,0,unknown,no
60,management,single,tertiary,no,200,no,yes,cellular,151,1,0,0,unknown,no
41,self-employed,single,tertiary,no,3950,yes,no,unknown,96,2,0,0,unknown,no
37,management,single,unknown,no,504,yes,no,cellular,190,1,0,0,unknown,no
57,management,married,tertiary,no,1602,no,no,cellular,339,3,0,0,unknown,no
44,admin.,married,secondary,no,200,yes,yes,unknown,159,1,0,0,unknown,no
31,blue-collar,married,secondary,no,1660,yes,no,cellular,342,1,0,0,unknown,no
35,management,married,tertiary,yes,200,yes,no,cellular,180,1,0,0,unknown,no
39,management,married,tertiary,no,278,no,yes,cellular,60,3,0,0,unknown,no
30,services,single,secondary,no,209,yes,no,unknown,30,2,0,0,unknown,no
46,services,married,secondary,no,271,yes,no,unknown,134,4,0,0,unknown,no
27,management,single,unknown,no,3196,no,no,cellular,10,2,0,0,unknown,no
48,admin.,divorced,secondary,no,4099,no,no,cellular,32,2,0,0,unknown,yes
26,student,single,secondary,no,2572,yes,no,cellular,255,1,0,0,unknown,no
36,management,single,tertiary,no,339,no,no,cellular,6,6,0,0,unknown,no
42,blue-collar,married,primary,no,200,yes,yes,cellular,209,2,0,0,unknown,no
50,housemaid,married,primary,no,395,yes,no,unknown,54,2,0,0,unknown,no
49,blue-collar,married,secondary,no,2039,yes,no,cellular,283,2,0,0,unknown,no
45,management,married,tertiary,no,5450,no,no,cellular,188,2,0,0,unknown,no
23,student,single,secondary,no,780,no,no,cellular,267,1,0,0,unknown,no
38,technician,single,secondary,no,200,yes,no,cellular,196,2,0,0,unknown,no
60,technician,single,primary,no,11262,no,no,cellular,323,1,0,0,unknown,yes
58,housemaid,married,tertiary,no,497,no,no,unknown,138,5,0,0,unknown,no
60,retired,married,primary,no,200,no,no,cellular,207,1,0,0,unknown,no
38,services,married,secondary,no,200,no,no,unknown,91,3,0,0,unknown,no
51,technician,married,secondary,no,379,yes,no,cellular,261,1,0,0,unknown,no
40,management,married,primary,no,733,yes,no,unknown,94,7,0,0,unknown,no
53,technician,divorced,primary,no,7290,yes,no,unknown,153,1,0,0,unknown,no
27,services,single,secondary,no,468,yes,no,cellular,109,1,0,0,unknown,no
39,blue-collar,married,primary,no,3705,yes,no,unknown,77,1,0,0,unknown,no
59,retired,married,tertiary,no,9676,no,no,telephone,234,2,0,0,unknown,yes
41,blue-collar,married,primary,no,200,yes,no,cellular,155,2,0,0,unknown,no
45,blue-collar,married,primary,no,200,no,no,cellular,108,1,0,0,unknown,no
48,management,married,tertiary,no,6613,no,no,unknown,159,3,0,0,unknown,no
48,technician,married,secondary,no,302,yes,no,unknown,208,3,0,0,unknown,no
32,blue-collar,married,secondary,no,1005,no,no,cellular,215,1,0,0,unknown,no
35,services,married,secondary,no,200,yes,no,unknown,232,3,0,0,unknown,no
28,blue-collar,single,primary,no,200,yes,yes,unknown,15,4,0,0,unknown,no
64,retired,married,unknown,no,2923,no,no,cellular,120,1,0,0,unknown,no
35,technician,married,secondary,no,200,no,no,cellular,106,4,0,0,unknown,no
41,technician,married,secondary,no,288,yes,no,unknown,221,4,0,0,unknown,no
34,admin.,married,secondary,no,613,yes,no,cellular,80,1,0,0,unknown,no
38,blue-collar,married,primary,no,200,yes,yes,telephone,212,3,0,0,unknown,no
39,blue-collar,married,primary,no,7685,yes,no,cellular,128,3,0,0,unknown,no
35,technician,divorced,tertiary,no,4515,yes,no,cellular,98,2,0,0,unknown,no
28,blue-collar,single,secondary,no,517,no,yes,cellular,316,1,0,0,unknown,yes
27,blue-collar,single,secondary,no,200,no,no,cellular,203,1,0,0,unknown,no
48,retired,married,primary,yes,285,no,yes,cellular,157,1,0,0,unknown,no
50,blue-collar,married,secondary,no,887,no,no,unknown,287,1,0,0,unknown,no
45,self-employed,married,secondary,no,3098,yes,no,cellular,159,2,0,0,unknown,no
41,technician,married,tertiary,no,744,yes,no,unknown,125,1,0,0,unknown,no
39,technician,married,secondary,no,200,no,no,cellular,202,2,0,0,unknown,no
49,management,married,tertiary,no,322,no,no,cellular,72,4,0,0,unknown,no
34,blue-collar,single,secondary,no,200,no,no,cellular,342,1,0,0,unknown,no
42,management,married,tertiary,no,200,no,no,cellular,325,2,0,0,unknown,no
53,blue-collar,married,secondary,no,4380,no,no,telephone,223,7,0,0,unknown,no
49,management,divorced,tertiary,no,755,no,no,cellular,117,4,0,0,unknown,yes
31,services,single,secondary,no,2070,no,no,cellular,319,2,0,0,unknown,no
45,blue-collar,single,primary,no,999,no,no,cellular,182,2,0,0,unknown,no
39,self-employed,married,secondary,no,200,yes,yes,cellular,330,1,0,0,unknown,no
46,technician,married,secondary,no,1322,yes,yes,cellular,149,1,0,0,unknown,no
42,admin.,divorced,secondary,no,1076,yes,no,unknown,213,1,0,0,unknown,no
26,technician,single,tertiary,no,1216,yes,no,cellular,107,2,0,0,unknown,no
36,services,single,secondary,no,342,yes,no,unknown,142,1,0,0,unknown,no
29,blue-collar,single,primary,no,950,yes,no,unknown,135,3,0,0,unknown,no
36,blue-collar,married,primary,no,973,yes,yes,unknown,293,1,0,0,unknown,no
26,technician,married,tertiary,no,3825,yes,no,unknown,107,1,0,0,unknown,no
32,blue-collar,married,secondary,no,2366,yes,no,unknown,127,2,0,0,unknown,no
40,management,married,tertiary,no,542,yes,no,cellular,356,1,0,0,unknown,no
53,management,married,primary,no,995,no,no,cellular,200,3,0,0,unknown,no
29,management,married,tertiary,no,200,yes,no,cellular,53,1,0,0,unknown,no
34,technician,single,tertiary,no,228,yes,no,cellular,22,4,0,0,unknown,no
56,management,married,tertiary,no,217,no,yes,cellular,121,2,0,0,unknown,no
55,entrepreneur,divorced,tertiary,no,200,no,no,unknown,108,2,0,0,unknown,no
31,self-employed,married,tertiary,no,259,yes,no,cellular,47,1,0,0,unknown,no
36,management,married,secondary,no,644,yes,no,cellular,54,2,0,0,unknown,no
44,management,married,tertiary,no,200,yes,no,cellular,265,2,0,0,unknown,no
37,admin.,divorced,tertiary,no,4303,yes,no,unknown,168,1,0,0,unknown,no
30,admin.,single,secondary,no,239,yes,no,cellular,115,3,0,0,unknown,no
42,technician,single,secondary,no,275,no,no,cellular,31,8,0,0,unknown,no
30,management,married,tertiary,no,1221,yes,no,telephone,279,4,0,0,unknown,yes
62,retired,married,secondary,no,816,no,no,cellular,28,2,0,0,unknown,no
24,blue-collar,married,secondary,no,1222,yes,no,cellular,4,1,0,0,unknown,no
31,technician,married,secondary,no,2363,yes,no,unknown,247,1,0,0,unknown,no
66,retired,married,tertiary,no,2262,no,no,cellular,155,1,0,0,unknown,no
47,admin.,married,secondary,no,200,no,no,cellular,89,1,0,0,unknown,no
39,entrepreneur,married,tertiary,no,200,yes,no,cellular,180,1,0,0,unknown,no
35,technician,married,secondary,no,4508,yes,no,cellular,124,1,0,0,unknown,yes
35,admin.,divorced,secondary,no,402,yes,no,cellular,46,1,0,0,unknown,no
27,technician,married,secondary,no,1577,yes,yes,unknown,266,2,0,0,unknown,no
32,blue-collar,married,secondary,no,200,yes,no,cellular,321,2,0,0,unknown,no
44,management,married,tertiary,no,795,no,no,cellular,99,24,0,0,unknown,no
42,blue-collar,married,secondary,no,200,yes,no,unknown,147,1,0,0,unknown,no
34,self-employed,single,tertiary,no,5462,no,no,cellular,65,1,0,0,unknown,yes
25,services,single,secondary,no,402,no,yes,cellular,264,1,0,0,unknown,no
40,technician,single,secondary,no,641,no,no,cellular,156,6,0,0,unknown,no
55,unemployed,married,tertiary,no,383,no,no,unknown,343,3,0,0,unknown,no
50,blue-collar,married,secondary,no,283,yes,no,cellular,226,3,0,0,unknown,no
45,management,divorced,tertiary,no,200,no,no,unknown,5,1,0,0,unknown,no
35,blue-collar,divorced,secondary,no,3102,yes,no,cellular,138,1,0,0,unknown,no
34,self-employed,married,secondary,no,370,yes,no,unknown,18,1,0,0,unknown,no
39,management,married,tertiary,no,606,yes,no,unknown,142,1,0,0,unknown,no
40,management,single,secondary,no,10378,yes,no,cellular,158,3,0,0,unknown,no
36,blue-collar,single,primary,no,1313,yes,no,unknown,8,10,0,0,unknown,no
40,management,married,tertiary,no,8969,yes,no,cellular,153,1,0,0,unknown,no
55,self-employed,married,secondary,no,200,yes,no,unknown,210,2,0,0,unknown,no
38,entrepreneur,married,secondary,yes,200,yes,no,cellular,121,1,0,0,unknown,no
61,admin.,married,secondary,no,4608,no,no,cellular,212,1,0,0,unknown,yes
41,management,married,tertiary,no,666,yes,no,unknown,253,3,0,0,unknown,no
57,blue-collar,married,primary,no,452,yes,no,unknown,139,4,0,0,unknown,no
48,blue-collar,married,secondary,no,200,yes,no,unknown,71,1,0,0,unknown,no
35,services,married,secondary,no,1453,yes,no,unknown,199,1,0,0,unknown,no
54,blue-collar,married,secondary,no,1480,yes,no,unknown,108,1,0,0,unknown,no
37,management,single,unknown,no,715,yes,no,unknown,247,2,0,0,unknown,no
56,management,single,secondary,no,237,yes,no,telephone,236,4,0,0,unknown,no
40,management,married,tertiary,no,200,no,no,cellular,109,8,0,0,unknown,no
54,management,married,tertiary,no,200,yes,no,cellular,112,2,0,0,unknown,no
55,housemaid,married,primary,no,200,yes,no,unknown,15,10,0,0,unknown,no
55,services,divorced,secondary,yes,404,yes,no,cellular,137,3,0,0,unknown,no
52,blue-collar,married,primary,no,779,yes,no,unknown,30,3,0,0,unknown,no
55,blue-collar,single,primary,no,1187,yes,no,unknown,193,2,0,0,unknown,no
33,management,married,tertiary,no,641,yes,no,cellular,347,2,0,0,unknown,no
52,blue-collar,married,unknown,no,826,yes,no,unknown,103,2,0,0,unknown,no
33,services,divorced,secondary,no,991,yes,no,unknown,148,1,0,0,unknown,no
46,admin.,married,secondary,no,200,no,no,cellular,23,6,0,0,unknown,yes
44,technician,single,secondary,no,244,yes,no,cellular,275,4,0,0,unknown,yes
48,management,divorced,tertiary,no,1328,yes,no,unknown,339,1,0,0,unknown,no
34,technician,single,secondary,no,4943,yes,yes,cellular,117,2,0,0,unknown,no
38,technician,single,secondary,no,258,no,yes,unknown,222,2,0,0,unknown,no
42,management,single,tertiary,no,515,yes,no,cellular,136,2,0,0,unknown,no
58,admin.,married,secondary,no,200,yes,yes,telephone,282,9,0,0,unknown,no
31,management,married,tertiary,no,200,no,no,cellular,110,5,0,0,unknown,no
19,student,single,primary,no,200,no,no,cellular,104,2,0,0,unknown,yes
41,management,married,tertiary,no,3872,no,no,cellular,231,1,0,0,unknown,no
31,unemployed,married,secondary,no,296,yes,no,unknown,13,3,0,0,unknown,no
52,self-employed,single,primary,no,217,no,yes,cellular,193,6,0,0,unknown,no
42,self-employed,divorced,tertiary,no,360,yes,no,unknown,110,5,0,0,unknown,no
41,blue-collar,single,secondary,no,428,yes,no,cellular,92,1,0,0,unknown,no
30,blue-collar,single,secondary,no,315,no,no,cellular,312,1,0,0,unknown,yes
32,management,married,tertiary,no,820,yes,no,cellular,8,3,0,0,unknown,no
48,management,divorced,tertiary,no,200,yes,no,unknown,89,2,0,0,unknown,no
36,management,married,tertiary,no,381,yes,no,cellular,30,29,0,0,unknown,no
34,technician,married,tertiary,no,691,yes,yes,unknown,70,1,0,0,unknown,no
36,blue-collar,married,primary,no,1925,yes,no,cellular,174,2,0,0,unknown,yes
54,services,married,secondary,no,200,no,no,unknown,220,1,0,0,unknown,no
50,entrepreneur,married,secondary,no,665,no,no,telephone,238,1,0,0,unknown,no
47,blue-collar,married,primary,no,233,no,no,cellular,293,3,0,0,unknown,no
45,services,married,secondary,no,839,yes,no,unknown,68,1,0,0,unknown,no
57,retired,married,primary,no,5799,no,no,unknown,97,1,0,0,unknown,no
27,admin.,married,secondary,no,1033,yes,no,unknown,253,1,0,0,unknown,no
49,unemployed,divorced,secondary,no,200,no,no,cellular,218,3,0,0,unknown,no
40,management,married,tertiary,no,1584,yes,no,telephone,296,1,0,0,unknown,no
32,services,single,secondary,no,200,yes,no,cellular,145,1,0,0,unknown,no
58,management,married,primary,no,200,yes,no,telephone,54,4,0,0,unknown,no
34,admin.,single,secondary,no,663,yes,no,cellular,111,1,0,0,unknown,no
46,technician,divorced,secondary,no,3455,yes,no,unknown,201,2,0,0,unknown,no
29,blue-collar,married,secondary,no,200,no,no,cellular,136,1,0,0,unknown,no
52,blue-collar,married,primary,no,1054,no,no,cellular,273,1,0,0,unknown,no
45,management,married,tertiary,no,1529,no,no,cellular,160,1,0,0,unknown,no
26,management,single,secondary,no,200,no,no,cellular,76,4,0,0,unknown,no
40,technician,married,tertiary,no,200,no,no,cellular,44,1,0,0,unknown,no
41,admin.,married,secondary,no,920,yes,yes,unknown,239,1,0,0,unknown,no
27,technician,single,unknown,no,200,no,no,cellular,62,4,0,0,unknown,no
27,services,married,secondary,no,200,yes,no,cellular,198,13,0,0,unknown,no
48,blue-collar,married,secondary,no,200,yes,no,unknown,73,1,0,0,unknown,no
49,admin.,married,secondary,no,2465,no,no,cellular,157,3,0,0,unknown,no
35,blue-collar,married,primary,no,200,yes,no,cellular,90,6,0,0,unknown,no
47,self-employed,married,secondary,yes,200,no,no,cellular,236,2,0,0,unknown,no
54,management,married,tertiary,no,200,no,no,cellular,118,5,0,0,unknown,no
39,management,single,tertiary,no,12437,no,no,telephone,40,1,0,0,unknown,no
28,student,single,secondary,no,378,yes,no,cellular,346,1,0,0,unknown,no
54,blue-collar,married,primary,no,211,no,no,unknown,200,2,0,0,unknown,no
42,self-employed,married,tertiary,no,1932,yes,no,unknown,192,32,0,0,unknown,no
43,technician,single,secondary,no,11269,no,no,unknown,92,1,0,0,unknown,no
55,blue-collar,married,primary,no,2275,no,no,cellular,139,9,0,0,unknown,no
43,management,single,tertiary,no,1304,no,no,cellular,136,2,0,0,unknown,yes
41,blue-collar,married,secondary,yes,720,no,yes,cellular,286,1,0,0,unknown,yes
47,technician,divorced,secondary,no,2914,yes,no,cellular,40,13,0,0,unknown,no
34,technician,married,secondary,no,1464,yes,no,unknown,350,1,0,0,unknown,no
28,student,single,secondary,no,11555,no,no,cellular,125,2,0,0,unknown,no
36,services,married,secondary,no,302,yes,no,cellular,36,2,0,0,unknown,no
35,blue-collar,married,secondary,no,339,yes,no,unknown,24,2,0,0,unknown,no
26,self-employed,single,tertiary,no,211,no,no,cellular,168,3,0,0,unknown,no
36,management,divorced,tertiary,no,3611,yes,no,unknown,347,3,0,0,unknown,no
59,unemployed,married,primary,no,200,no,no,cellular,105,2,0,0,unknown,no
28,student,single,secondary,no,459,no,no,cellular,83,13,0,0,unknown,no
46,entrepreneur,married,unknown,no,242,yes,no,unknown,332,2,0,0,unknown,no
50,self-employed,married,secondary,no,1138,no,no,cellular,219,10,0,0,unknown,no
81,retired,married,secondary,no,200,no,no,cellular,65,5,0,0,unknown,no
35,services,divorced,secondary,no,200,yes,no,cellular,192,2,0,0,unknown,no
58,retired,married,unknown,no,937,no,no,cellular,155,1,0,0,unknown,no
44,services,married,secondary,no,200,yes,yes,cellular,161,1,0,0,unknown,no
38,management,married,tertiary,no,558,yes,no,cellular,168,1,0,0,unknown,no
29,management,married,tertiary,no,361,yes,yes,cellular,89,3,0,0,unknown,no
28,technician,single,secondary,no,227,no,no,cellular,278,1,0,0,unknown,yes
31,admin.,married,secondary,no,236,yes,yes,telephone,211,3,0,0,unknown,no
33,management,single,tertiary,no,200,no,no,cellular,252,2,0,0,unknown,no
52,technician,married,secondary,no,200,yes,no,cellular,61,2,0,0,unknown,no
43,management,divorced,tertiary,no,200,yes,no,cellular,197,6,0,0,unknown,no
32,self-employed,single,secondary,no,518,yes,no,cellular,34,7,0,0,unknown,no
36,self-employed,married,tertiary,no,200,yes,yes,cellular,95,4,0,0,unknown,no
41,blue-collar,married,secondary,no,256,yes,no,unknown,147,2,0,0,unknown,no
43,blue-collar,married,secondary,no,200,no,yes,cellular,303,2,0,0,unknown,no
45,self-employed,married,tertiary,no,334,no,no,unknown,87,2,0,0,unknown,no
39,technician,married,secondary,no,1048,no,yes,cellular,40,1,0,0,unknown,no
41,services,married,secondary,no,200,yes,yes,unknown,83,7,0,0,unknown,no
31,technician,married,secondary,no,660,no,no,cellular,115,1,0,0,unknown,no
37,unemployed,single,tertiary,yes,200,yes,no,cellular,108,1,0,0,unknown,no
28,entrepreneur,married,unknown,no,1034,no,no,cellular,113,1,0,0,unknown,no
37,housemaid,married,primary,no,200,no,no,cellular,148,4,0,0,unknown,no
43,technician,divorced,secondary,no,1413,yes,no,telephone,75,3,0,0,unknown,no
58,retired,divorced,tertiary,no,264,yes,yes,cellular,158,3,0,0,unknown,no
52,entrepreneur,married,tertiary,no,200,yes,yes,telephone,103,1,0,0,unknown,no
32,services,single,secondary,no,2881,no,no,cellular,356,1,0,0,unknown,yes
42,blue-collar,married,primary,no,200,yes,no,cellular,71,1,0,0,unknown,no
31,admin.,married,secondary,no,200,yes,yes,cellular,189,2,0,0,unknown,no
28,blue-collar,married,secondary,no,1020,yes,no,unknown,251,1,0,0,unknown,no
36,technician,divorced,tertiary,no,200,no,no,cellular,127,8,0,0,unknown,no
51,unemployed,single,tertiary,no,1594,no,no,telephone,197,1,0,0,unknown,no
46,technician,married,tertiary,no,342,yes,yes,cellular,84,1,0,0,unknown,no
50,services,single,secondary,no,200,no,no,unknown,141,2,0,0,unknown,no
32,blue-collar,married,secondary,no,200,yes,no,unknown,171,1,0,0,unknown,no
26,entrepreneur,single,tertiary,no,200,no,no,cellular,262,3,0,0,unknown,no
41,self-employed,married,tertiary,no,231,no,no,cellular,352,2,0,0,unknown,yes
31,blue-collar,married,secondary,no,200,yes,no,unknown,184,1,0,0,unknown,no
28,management,single,tertiary,no,231,yes,yes,cellular,203,2,0,0,unknown,no
31,management,single,secondary,no,200,no,no,cellular,105,2,0,0,unknown,no
30,technician,married,tertiary,no,1570,yes,no,cellular,260,1,0,0,unknown,no
33,blue-collar,married,primary,no,3704,yes,no,unknown,82,2,0,0,unknown,no
30,technician,single,tertiary,no,6619,yes,no,cellular,239,8,0,0,unknown,no
32,blue-collar,single,secondary,no,200,yes,no,cellular,61,1,0,0,unknown,no
31,self-employed,married,tertiary,no,1134,no,no,cellular,174,2,0,0,unknown,no
36,technician,married,secondary,no,200,yes,yes,unknown,284,2,0,0,unknown,no
33,management,single,tertiary,no,9449,yes,no,cellular,63,1,0,0,unknown,no
57,retired,married,secondary,no,374,yes,yes,cellular,236,1,0,0,unknown,no
45,technician,married,secondary,no,200,no,no,cellular,150,2,0,0,unknown,no
30,management,single,tertiary,no,200,yes,yes,cellular,301,8,0,0,unknown,yes
52,blue-collar,married,secondary,no,289,yes,no,unknown,45,13,0,0,unknown,no
83,retired,married,secondary,no,200,no,no,cellular,140,10,0,0,unknown,no
58,self-employed,divorced,tertiary,no,1382,no,no,unknown,335,1,0,0,unknown,yes
33,management,divorced,tertiary,yes,280,no,yes,cellular,155,1,0,0,unknown,no
41,blue-collar,divorced,primary,no,2195,yes,no,unknown,211,5,0,0,unknown,no
31,self-employed,married,secondary,no,200,no,no,cellular,165,4,0,0,unknown,no
35,blue-collar,divorced,secondary,no,275,no,yes,cellular,144,5,0,0,unknown,no
27,management,single,tertiary,no,703,yes,no,unknown,225,3,0,0,unknown,yes
57,admin.,divorced,unknown,no,887,no,no,unknown,43,8,0,0,unknown,no
56,unknown,married,unknown,no,200,no,no,unknown,106,2,0,0,unknown,no
53,admin.,single,secondary,no,1178,yes,no,unknown,295,2,0,0,unknown,no
39,management,married,tertiary,no,2763,yes,no,unknown,161,2,0,0,unknown,yes
32,entrepreneur,single,tertiary,no,890,yes,yes,cellular,27,10,0,0,unknown,no
46,self-employed,married,secondary,no,548,no,no,cellular,86,4,0,0,unknown,yes
56,technician,married,tertiary,no,272,no,no,cellular,103,2,0,0,unknown,no
29,entrepreneur,married,secondary,no,200,yes,no,cellular,231,4,0,0,unknown,no
50,self-employed,divorced,tertiary,no,200,yes,no,unknown,67,2,0,0,unknown,no
45,services,married,secondary,no,1343,no,yes,cellular,220,1,0,0,unknown,no
58,retired,married,secondary,no,225,no,no,cellular,122,6,0,0,unknown,no
59,retired,married,primary,no,200,yes,no,unknown,104,7,0,0,unknown,no
58,retired,divorced,primary,no,2538,yes,no,cellular,307,6,0,0,unknown,no
40,management,married,tertiary,no,200,yes,no,cellular,40,2,0,0,unknown,no
28,management,single,tertiary,no,200,yes,no,cellular,37,5,0,0,unknown,yes
38,technician,single,tertiary,no,200,yes,no,cellular,232,2,0,0,unknown,yes
46,blue-collar,single,secondary,no,324,yes,no,unknown,293,6,0,0,unknown,no
32,management,married,tertiary,no,200,no,no,cellular,66,1,0,0,unknown,no
55,retired,divorced,secondary,no,200,no,no,cellular,205,1,0,0,unknown,no
56,technician,married,secondary,no,4063,no,yes,telephone,31,4,0,0,unknown,no
40,blue-collar,married,secondary,no,11084,no,no,unknown,113,1,0,0,unknown,no
33,management,married,tertiary,no,1808,yes,no,unknown,99,4,0,0,unknown,no
41,unemployed,divorced,secondary,no,1281,no,no,cellular,45,3,0,0,unknown,no
58,management,single,tertiary,no,200,yes,no,telephone,168,3,0,0,unknown,no
52,blue-collar,married,secondary,no,200,no,yes,cellular,196,2,0,0,unknown,no
49,services,single,secondary,no,200,no,no,unknown,319,6,0,0,unknown,no
44,housemaid,married,primary,no,3706,no,no,unknown,209,3,0,0,unknown,no
28,admin.,single,unknown,no,200,no,no,cellular,184,1,0,0,unknown,no
31,technician,married,secondary,no,251,no,yes,cellular,156,2,0,0,unknown,no
37,self-employed,married,secondary,no,4153,yes,no,cellular,35,16,0,0,unknown,no
30,technician,single,tertiary,no,985,yes,no,cellular,88,2,0,0,unknown,no
47,management,married,tertiary,no,7708,yes,no,cellular,157,5,0,0,unknown,no
35,blue-collar,married,primary,no,200,yes,no,unknown,212,5,0,0,unknown,no
80,management,married,primary,no,6483,no,no,telephone,123,1,0,0,unknown,no
30,technician,single,tertiary,no,200,yes,yes,unknown,306,5,0,0,unknown,no
55,technician,single,secondary,no,3339,yes,no,unknown,63,1,0,0,unknown,no
22,student,single,tertiary,no,1161,no,yes,cellular,119,1,0,0,unknown,no
33,blue-collar,single,primary,no,599,yes,no,unknown,29,1,0,0,unknown,no
53,entrepreneur,married,unknown,no,200,no,no,cellular,117,2,0,0,unknown,no
49,management,married,tertiary,no,1430,no,no,cellular,231,2,0,0,unknown,no
51,retired,married,secondary,no,200,no,yes,cellular,123,4,0,0,unknown,no
41,self-employed,married,tertiary,no,6000,yes,no,cellular,265,1,0,0,unknown,no
34,technician,married,secondary,no,200,yes,no,cellular,144,1,0,0,unknown,no
36,blue-collar,single,secondary,no,340,no,yes,unknown,194,3,0,0,unknown,no
29,services,married,secondary,no,200,yes,no,cellular,183,1,0,0,unknown,no
40,technician,single,tertiary,no,445,yes,no,cellular,266,1,0,0,unknown,no
32,management,divorced,tertiary,no,874,no,no,cellular,187,6,0,0,unknown,yes
48,blue-collar,married,secondary,no,705,no,no,unknown,108,2,0,0,unknown,no
59,retired,married,unknown,no,1033,no,no,unknown,104,1,0,0,unknown,yes
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,6,2,0,0,unknown,yes
33,technician,single,tertiary,no,200,no,no,cellular,264,1,0,0,unknown,no
55,retired,married,primary,no,8894,no,no,unknown,262,1,0,0,unknown,no
41,blue-collar,married,secondary,no,429,yes,no,unknown,244,1,0,0,unknown,no
42,housemaid,married,primary,no,14752,no,no,unknown,107,2,0,0,unknown,no
46,blue-collar,married,primary,no,200,no,no,unknown,9,1,0,0,unknown,no
35,housemaid,divorced,secondary,no,200,no,no,cellular,149,2,0,0,unknown,no
28,technician,single,tertiary,no,200,no,no,cellular,321,2,0,0,unknown,no
56,management,single,tertiary,no,15311,no,no,cellular,157,6,0,0,unknown,no
30,admin.,single,secondary,no,635,no,no,cellular,250,1,0,0,unknown,no
45,blue-collar,married,secondary,no,200,no,no,cellular,209,4,0,0,unknown,no
40,management,married,tertiary,no,10786,no,no,unknown,111,3,0,0,unknown,no
39,blue-collar,married,secondary,no,1045,yes,yes,cellular,290,13,0,0,unknown,no
48,entrepreneur,married,tertiary,no,810,no,no,unknown,18,1,0,0,unknown,no
31,technician,single,tertiary,no,200,yes,no,cellular,15,1,0,0,unknown,no
32,management,married,tertiary,no,200,no,no,cellular,124,3,0,0,unknown,no
34,services,married,secondary,no,586,yes,yes,unknown,224,2,0,0,unknown,no
37,management,single,tertiary,no,509,yes,no,cellular,133,1,0,0,unknown,no
29,student,single,unknown,no,2929,no,no,cellular,91,1,0,0,unknown,no
57,technician,married,secondary,no,3071,yes,yes,cellular,63,3,0,0,unknown,no
47,management,single,tertiary,no,200,yes,no,cellular,192,2,0,0,unknown,no
38,self-employed,single,secondary,no,1146,yes,no,unknown,91,2,0,0,unknown,no
50,management,married,tertiary,no,3463,no,yes,cellular,96,1,0,0,unknown,yes
33,admin.,married,secondary,no,1158,yes,no,cellular,25,2,0,0,unknown,no
28,admin.,single,secondary,no,200,yes,no,cellular,227,2,0,0,unknown,no
30,services,single,secondary,no,566,no,no,cellular,110,1,0,0,unknown,no
52,technician,divorced,secondary,no,204,no,no,cellular,134,2,0,0,unknown,no
36,technician,married,secondary,no,480,no,no,cellular,213,1,0,0,unknown,yes
46,services,married,secondary,no,1034,no,no,cellular,109,2,0,0,unknown,no
57,management,married,tertiary,no,3250,no,no,cellular,162,3,0,0,unknown,no
28,management,single,secondary,no,1633,no,no,cellular,275,1,0,0,unknown,yes
55,retired,married,primary,no,3334,no,no,cellular,267,4,0,0,unknown,yes
